Cycle,Training samples,sample,Method,True vectors,Predicted vectors,Vector count error,Engineering score,Line geometry score,Total length score,Junction angle score,Vector count score,True junctions,Predicted junctions,tp,fp,fn,tn,sample_precision,sample_recall,sample_f1,sample_accuracy,sample_iou
small,100,17,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,511,15873,0.0,0.0,0.0,0.9688110351561908,0.0
small,100,18,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,587,15797,0.0,0.0,0.0,0.9641723632811912,0.0
small,100,19,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,189,16195,0.0,0.0,0.0,0.9884643554686896,0.0
small,100,20,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.0,0.0,0.0,0.0,0.0,1,0,0,0,315,16069,0.0,0.0,0.0,0.9807739257811902,0.0
small,100,21,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0,0,280,16104,0.0,0.0,0.0,0.9829101562499399,0.0
small,100,22,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.0,0.0,0.0,0.0,0.0,1,0,0,0,527,15857,0.0,0.0,0.0,0.9678344726561909,0.0
small,100,23,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,166,16218,0.0,0.0,0.0,0.9898681640624396,0.0
small,100,24,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.0,0.0,0.0,0.0,0.0,1,0,0,0,236,16148,0.0,0.0,0.0,0.9855957031249398,0.0
small,100,25,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.0,0.0,0.0,0.0,0.0,1,0,0,0,492,15892,0.0,0.0,0.0,0.9699707031249408,0.0
small,100,26,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,560,15824,0.0,0.0,0.0,0.965820312499941,0.0
small,100,27,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,397,15987,0.0,0.0,0.0,0.9757690429686904,0.0
small,100,28,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.0,0.0,0.0,0.0,0.0,3,0,0,0,891,15493,0.0,0.0,0.0,0.9456176757811923,0.0
small,100,29,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,632,15752,0.0,0.0,0.0,0.9614257812499413,0.0
small,100,30,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,140,16244,0.0,0.0,0.0,0.9914550781249395,0.0
small,100,31,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,767,15617,0.0,0.0,0.0,0.9531860351561918,0.0
small,100,32,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.0,0.0,0.0,0.0,0.0,2,0,0,0,668,15716,0.0,0.0,0.0,0.9592285156249414,0.0
small,100,33,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,607,15777,0.0,0.0,0.0,0.9629516601561912,0.0
small,100,34,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,186,16198,0.0,0.0,0.0,0.9886474609374396,0.0
small,100,35,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0,0,465,15919,0.0,0.0,0.0,0.9716186523436907,0.0
small,100,36,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.0,0.0,0.0,0.0,0.0,1,0,0,0,234,16150,0.0,0.0,0.0,0.9857177734374398,0.0
small,100,37,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,325,16059,0.0,0.0,0.0,0.9801635742186902,0.0
small,100,38,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.0,0.0,0.0,0.0,0.0,1,0,0,0,554,15830,0.0,0.0,0.0,0.966186523437441,0.0
small,100,39,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.0,0.0,0.0,0.0,0.0,1,0,0,0,494,15890,0.0,0.0,0.0,0.9698486328124408,0.0
small,100,40,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0,0,377,16007,0.0,0.0,0.0,0.9769897460936904,0.0
small,100,41,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,506,15878,0.0,0.0,0.0,0.9691162109374408,0.0
small,100,42,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.0,0.0,0.0,0.0,0.0,1,0,0,0,430,15954,0.0,0.0,0.0,0.9737548828124405,0.0
small,100,43,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,265,16119,0.0,0.0,0.0,0.9838256835936899,0.0
small,100,44,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.0,0.0,0.0,0.0,0.0,2,0,0,0,596,15788,0.0,0.0,0.0,0.9636230468749412,0.0
small,100,45,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.0,0.0,0.0,0.0,0.0,1,0,0,0,680,15704,0.0,0.0,0.0,0.9584960937499415,0.0
small,100,46,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,106,16278,0.0,0.0,0.0,0.9935302734374394,0.0
small,100,47,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,100,16284,0.0,0.0,0.0,0.9938964843749393,0.0
small,100,48,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,148,16236,0.0,0.0,0.0,0.9909667968749395,0.0
small,100,49,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,378,16006,0.0,0.0,0.0,0.9769287109374404,0.0
small,100,50,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,160,16224,0.0,0.0,0.0,0.9902343749999395,0.0
small,100,51,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.0,0.0,0.0,0.0,0.0,1,0,0,0,286,16098,0.0,0.0,0.0,0.98254394531244,0.0
small,100,52,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,474,15910,0.0,0.0,0.0,0.9710693359374407,0.0
small,100,53,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0,0,285,16099,0.0,0.0,0.0,0.98260498046869,0.0
small,100,54,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,245,16139,0.0,0.0,0.0,0.9850463867186898,0.0
small,100,55,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,66,16318,0.0,0.0,0.0,0.9959716796874392,0.0
small,100,56,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,30,16354,0.0,0.0,0.0,0.998168945312439,0.0
small,100,57,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,403,15981,0.0,0.0,0.0,0.9754028320311905,0.0
small,100,58,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.0,0.0,0.0,0.0,0.0,1,0,0,0,553,15831,0.0,0.0,0.0,0.966247558593691,0.0
small,100,59,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,36,16348,0.0,0.0,0.0,0.997802734374939,0.0
small,100,60,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.0,0.0,0.0,0.0,0.0,4,0,0,0,383,16001,0.0,0.0,0.0,0.9766235351561904,0.0
small,100,61,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,569,15815,0.0,0.0,0.0,0.965270996093691,0.0
small,100,62,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,233,16151,0.0,0.0,0.0,0.9857788085936898,0.0
small,100,63,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.0,0.0,0.0,0.0,0.0,3,0,0,0,407,15977,0.0,0.0,0.0,0.9751586914061905,0.0
small,100,64,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,28,16356,0.0,0.0,0.0,0.998291015624939,0.0
small,100,65,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.0,0.0,0.0,0.0,0.0,2,0,0,0,436,15948,0.0,0.0,0.0,0.9733886718749406,0.0
small,100,66,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.0,0.0,0.0,0.0,0.0,1,0,0,0,300,16084,0.0,0.0,0.0,0.98168945312494,0.0
small,100,67,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.0,0.0,0.0,0.0,0.0,2,0,0,0,667,15717,0.0,0.0,0.0,0.9592895507811914,0.0
small,100,68,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,197,16187,0.0,0.0,0.0,0.9879760742186897,0.0
small,100,69,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,496,15888,0.0,0.0,0.0,0.9697265624999408,0.0
small,100,70,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,167,16217,0.0,0.0,0.0,0.9898071289061896,0.0
small,100,71,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0,0,252,16132,0.0,0.0,0.0,0.9846191406249398,0.0
small,100,72,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,161,16223,0.0,0.0,0.0,0.9901733398436895,0.0
small,100,73,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,120,16264,0.0,0.0,0.0,0.9926757812499394,0.0
small,100,74,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,150,16234,0.0,0.0,0.0,0.9908447265624395,0.0
small,100,75,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,499,15885,0.0,0.0,0.0,0.9695434570311908,0.0
small,100,76,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,194,16190,0.0,0.0,0.0,0.9881591796874397,0.0
small,100,77,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,90,16294,0.0,0.0,0.0,0.9945068359374393,0.0
small,100,78,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,206,16178,0.0,0.0,0.0,0.9874267578124397,0.0
small,100,79,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,119,16265,0.0,0.0,0.0,0.9927368164061894,0.0
small,100,80,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,102,16282,0.0,0.0,0.0,0.9937744140624393,0.0
small,100,81,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.0,0.0,0.0,0.0,0.0,2,0,0,0,554,15830,0.0,0.0,0.0,0.966186523437441,0.0
small,100,82,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,493,15891,0.0,0.0,0.0,0.9699096679686908,0.0
small,100,83,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0,0,245,16139,0.0,0.0,0.0,0.9850463867186898,0.0
small,100,84,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0,0,356,16028,0.0,0.0,0.0,0.9782714843749403,0.0
small,100,85,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,392,15992,0.0,0.0,0.0,0.9760742187499404,0.0
small,100,86,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,170,16214,0.0,0.0,0.0,0.9896240234374396,0.0
small,100,87,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.0,0.0,0.0,0.0,0.0,2,0,0,0,766,15618,0.0,0.0,0.0,0.9532470703124418,0.0
small,100,88,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,383,16001,0.0,0.0,0.0,0.9766235351561904,0.0
small,100,89,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,705,15679,0.0,0.0,0.0,0.9569702148436916,0.0
small,100,90,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,457,15927,0.0,0.0,0.0,0.9721069335936906,0.0
small,100,91,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,105,16279,0.0,0.0,0.0,0.9935913085936894,0.0
small,100,92,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,336,16048,0.0,0.0,0.0,0.9794921874999402,0.0
small,100,93,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,202,16182,0.0,0.0,0.0,0.9876708984374397,0.0
small,100,94,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,107,16277,0.0,0.0,0.0,0.9934692382811894,0.0
small,100,95,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,289,16095,0.0,0.0,0.0,0.98236083984369,0.0
small,100,96,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,326,16058,0.0,0.0,0.0,0.9801025390624402,0.0
small,100,97,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,320,16064,0.0,0.0,0.0,0.9804687499999402,0.0
small,100,98,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,48,16336,0.0,0.0,0.0,0.9970703124999392,0.0
small,100,99,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,14,16370,0.0,0.0,0.0,0.9991455078124389,0.0
small,100,100,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,395,15989,0.0,0.0,0.0,0.9758911132811904,0.0
small,100,101,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.0,0.0,0.0,0.0,0.0,2,0,0,0,198,16186,0.0,0.0,0.0,0.9879150390624397,0.0
small,100,102,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,180,16204,0.0,0.0,0.0,0.9890136718749396,0.0
small,100,103,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.0,0.0,0.0,0.0,0.0,2,0,0,0,491,15893,0.0,0.0,0.0,0.9700317382811907,0.0
small,100,104,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,198,16186,0.0,0.0,0.0,0.9879150390624397,0.0
small,100,105,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,511,15873,0.0,0.0,0.0,0.9688110351561908,0.0
small,100,106,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0,0,238,16146,0.0,0.0,0.0,0.9854736328124398,0.0
small,100,107,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0,0,462,15922,0.0,0.0,0.0,0.9718017578124407,0.0
small,100,108,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.0,0.0,0.0,0.0,0.0,1,0,0,0,390,15994,0.0,0.0,0.0,0.9761962890624404,0.0
small,100,109,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0,0,477,15907,0.0,0.0,0.0,0.9708862304686907,0.0
small,100,110,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.0,0.0,0.0,0.0,0.0,1,0,0,0,523,15861,0.0,0.0,0.0,0.9680786132811909,0.0
small,100,111,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,270,16114,0.0,0.0,0.0,0.9835205078124399,0.0
small,100,112,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,336,16048,0.0,0.0,0.0,0.9794921874999402,0.0
small,100,113,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,515,15869,0.0,0.0,0.0,0.9685668945311908,0.0
small,100,114,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.0,0.0,0.0,0.0,0.0,1,0,0,0,273,16111,0.0,0.0,0.0,0.9833374023436899,0.0
small,100,115,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,379,16005,0.0,0.0,0.0,0.9768676757811904,0.0
small,100,116,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,428,15956,0.0,0.0,0.0,0.9738769531249405,0.0
small,100,117,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,434,15950,0.0,0.0,0.0,0.9735107421874406,0.0
small,100,118,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.0,0.0,0.0,0.0,0.0,4,0,0,0,454,15930,0.0,0.0,0.0,0.9722900390624406,0.0
small,100,119,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,607,15777,0.0,0.0,0.0,0.9629516601561912,0.0
small,100,120,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0,0,364,16020,0.0,0.0,0.0,0.9777832031249403,0.0
small,100,121,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,29,16355,0.0,0.0,0.0,0.998229980468689,0.0
small,100,122,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.0,0.0,0.0,0.0,0.0,1,0,0,0,588,15796,0.0,0.0,0.0,0.9641113281249412,0.0
small,100,123,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.0,0.0,0.0,0.0,0.0,2,0,0,0,473,15911,0.0,0.0,0.0,0.9711303710936907,0.0
small,100,124,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,656,15728,0.0,0.0,0.0,0.9599609374999414,0.0
small,100,125,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,47,16337,0.0,0.0,0.0,0.9971313476561892,0.0
small,100,126,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,251,16133,0.0,0.0,0.0,0.9846801757811898,0.0
small,100,127,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.0,0.0,0.0,0.0,0.0,1,0,0,0,348,16036,0.0,0.0,0.0,0.9787597656249403,0.0
small,100,128,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,104,16280,0.0,0.0,0.0,0.9936523437499393,0.0
small,100,129,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,634,15750,0.0,0.0,0.0,0.9613037109374413,0.0
small,100,130,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,296,16088,0.0,0.0,0.0,0.98193359374994,0.0
small,100,131,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,365,16019,0.0,0.0,0.0,0.9777221679686903,0.0
small,100,132,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,178,16206,0.0,0.0,0.0,0.9891357421874396,0.0
small,100,133,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,461,15923,0.0,0.0,0.0,0.9718627929686906,0.0
small,100,134,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.0,0.0,0.0,0.0,0.0,1,0,0,0,638,15746,0.0,0.0,0.0,0.9610595703124413,0.0
small,100,135,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0,0,119,16265,0.0,0.0,0.0,0.9927368164061894,0.0
small,100,136,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,640,15744,0.0,0.0,0.0,0.9609374999999413,0.0
small,100,137,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,573,15811,0.0,0.0,0.0,0.965026855468691,0.0
small,100,138,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,78,16306,0.0,0.0,0.0,0.9952392578124393,0.0
small,100,139,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.0,0.0,0.0,0.0,0.0,3,0,0,0,683,15701,0.0,0.0,0.0,0.9583129882811915,0.0
small,100,140,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.0,0.0,0.0,0.0,0.0,2,0,0,0,618,15766,0.0,0.0,0.0,0.9622802734374413,0.0
small,100,141,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,102,16282,0.0,0.0,0.0,0.9937744140624393,0.0
small,100,142,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,68,16316,0.0,0.0,0.0,0.9958496093749392,0.0
small,100,143,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,471,15913,0.0,0.0,0.0,0.9712524414061907,0.0
small,100,144,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,296,16088,0.0,0.0,0.0,0.98193359374994,0.0
small,100,145,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,231,16153,0.0,0.0,0.0,0.9859008789061898,0.0
small,100,146,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0,0,408,15976,0.0,0.0,0.0,0.9750976562499405,0.0
small,100,147,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.0,0.0,0.0,0.0,0.0,1,0,0,0,344,16040,0.0,0.0,0.0,0.9790039062499403,0.0
small,100,148,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,241,16143,0.0,0.0,0.0,0.9852905273436898,0.0
small,100,149,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.0,0.0,0.0,0.0,0.0,1,0,0,0,346,16038,0.0,0.0,0.0,0.9788818359374403,0.0
small,100,150,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,188,16196,0.0,0.0,0.0,0.9885253906249396,0.0
small,100,151,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,584,15800,0.0,0.0,0.0,0.9643554687499412,0.0
small,100,152,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.0,0.0,0.0,0.0,0.0,1,0,0,0,192,16192,0.0,0.0,0.0,0.9882812499999396,0.0
small,100,153,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,216,16168,0.0,0.0,0.0,0.9868164062499397,0.0
small,100,154,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,104,16280,0.0,0.0,0.0,0.9936523437499393,0.0
small,100,155,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,66,16318,0.0,0.0,0.0,0.9959716796874392,0.0
small,100,156,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.0,0.0,0.0,0.0,0.0,1,0,0,0,686,15698,0.0,0.0,0.0,0.9581298828124415,0.0
small,100,157,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,33,16351,0.0,0.0,0.0,0.997985839843689,0.0
small,100,158,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,306,16078,0.0,0.0,0.0,0.98132324218744,0.0
small,100,159,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.0,0.0,0.0,0.0,0.0,1,0,0,0,406,15978,0.0,0.0,0.0,0.9752197265624405,0.0
small,100,160,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,219,16165,0.0,0.0,0.0,0.9866333007811897,0.0
small,100,161,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0,0,527,15857,0.0,0.0,0.0,0.9678344726561909,0.0
small,100,162,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0,0,372,16012,0.0,0.0,0.0,0.9772949218749403,0.0
small,100,163,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,98,16286,0.0,0.0,0.0,0.9940185546874393,0.0
small,100,164,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.0,0.0,0.0,0.0,0.0,1,0,0,0,445,15939,0.0,0.0,0.0,0.9728393554686906,0.0
small,100,165,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,334,16050,0.0,0.0,0.0,0.9796142578124402,0.0
small,100,166,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,619,15765,0.0,0.0,0.0,0.9622192382811913,0.0
small,100,167,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,15,16369,0.0,0.0,0.0,0.999084472656189,0.0
